,Casino,Free_internet,Gym,Helpful_votes,Hotel_name,Hotel_stars,Member_years,Nr_hotel_reviews,Nr_reviews,Nr_rooms,Period_of_stay,Pool,Review_month,Review_weekday,Score,Spa,Tennis_court,Traveler_type,User_continent,User_country
0,YES,YES,YES,13,Circus Circus Hotel & Casino Las Vegas,3,9,4,11,3773,Dec-Feb,NO,January,Thursday,5,NO,NO,Friends,North America,USA
1,YES,YES,YES,75,Circus Circus Hotel & Casino Las Vegas,3,3,21,119,3773,Dec-Feb,NO,January,Friday,3,NO,NO,Business,North America,USA
2,YES,YES,YES,25,Circus Circus Hotel & Casino Las Vegas,3,2,9,36,3773,Mar-May,NO,February,Saturday,5,NO,NO,Families,North America,USA
3,YES,YES,YES,14,Circus Circus Hotel & Casino Las Vegas,3,6,7,14,3773,Mar-May,NO,February,Friday,4,NO,NO,Friends,Europe,UK
4,YES,YES,YES,2,Circus Circus Hotel & Casino Las Vegas,3,7,5,5,3773,Mar-May,NO,March,Tuesday,4,NO,NO,Solo,North America,Canada
5,YES,YES,YES,27,Circus Circus Hotel & Casino Las Vegas,3,2,8,31,3773,Mar-May,NO,March,Tuesday,3,NO,NO,Couples,North America,Canada
6,YES,YES,YES,46,Circus Circus Hotel & Casino Las Vegas,3,4,12,45,3773,Mar-May,NO,April,Friday,4,NO,NO,Couples,Europe,UK
7,YES,YES,YES,4,Circus Circus Hotel & Casino Las Vegas,3,1,1,2,3773,Mar-May,NO,April,Tuesday,4,NO,NO,Families,North America,USA
8,YES,YES,YES,8,Circus Circus Hotel & Casino Las Vegas,3,3,3,24,3773,Mar-May,NO,May,Saturday,4,NO,NO,Friends,Asia,India
9,YES,YES,YES,11,Circus Circus Hotel & Casino Las Vegas,3,5,7,12,3773,Mar-May,NO,May,Tuesday,3,NO,NO,Families,North America,Canada
10,YES,YES,YES,58,Circus Circus Hotel & Casino Las Vegas,3,9,24,102,3773,Jun-Aug,NO,June,Friday,2,NO,NO,Families,North America,USA
11,YES,YES,YES,24,Circus Circus Hotel & Casino Las Vegas,3,4,9,20,3773,Jun-Aug,NO,June,Saturday,3,NO,NO,Friends,Oceania,Australia
12,YES,YES,YES,9,Circus Circus Hotel & Casino Las Vegas,3,1,6,7,3773,Jun-Aug,NO,July,Wednesday,2,NO,NO,Friends,North America,USA
13,YES,YES,YES,13,Circus Circus Hotel & Casino Las Vegas,3,1,5,22,3773,Jun-Aug,NO,July,Thursday,3,NO,NO,Friends,North America,USA
14,YES,YES,YES,0,Circus Circus Hotel & Casino Las Vegas,3,1,3,3,3773,Jun-Aug,NO,August,Sunday,3,NO,NO,Friends,Europe,UK
15,YES,YES,YES,33,Circus Circus Hotel & Casino Las Vegas,3,2,17,146,3773,Jun-Aug,NO,August,Saturday,4,NO,NO,Families,Oceania,New Zeland
16,YES,YES,YES,9,Circus Circus Hotel & Casino Las Vegas,3,4,8,8,3773,Sep-Nov,NO,September,Wednesday,1,NO,NO,Families,North America,Canada
17,YES,YES,YES,1,Circus Circus Hotel & Casino Las Vegas,3,2,3,9,3773,Sep-Nov,NO,September,Saturday,4,NO,NO,Families,North America,USA
18,YES,YES,YES,19,Circus Circus Hotel & Casino Las Vegas,3,2,9,41,3773,Sep-Nov,NO,October,Tuesday,3,NO,NO,Couples,North America,Canada
19,YES,YES,YES,26,Circus Circus Hotel & Casino Las Vegas,3,10,7,8,3773,Sep-Nov,NO,October,Monday,2,NO,NO,Couples,North America,USA
20,YES,YES,YES,2,Circus Circus Hotel & Casino Las Vegas,3,7,5,10,3773,Sep-Nov,NO,November,Saturday,4,NO,NO,Couples,Europe,UK
21,YES,YES,YES,3,Circus Circus Hotel & Casino Las Vegas,3,3,3,4,3773,Sep-Nov,NO,November,Monday,1,NO,NO,Couples,Oceania,New Zeland
